name,id,type,label,customerId,CustomerName
58BF25ECA440,c0acc5c0-e540-11ee-97a1-13eb5634dd40,IntelliGateLTE,,397eac60-1daf-11ef-9159-ed94d19c6787,Zehnder Zensor
58BF25E882B8-003,c4321130-815a-11ef-bb66-09a77fdcecde,Premasgard_7000,System,fde0af30-d9d7-11ed-abe5-9faf6fe668dc,Motala Hissar - R&D
C049EF25CB80,c4da34f0-d2e2-11ed-b074-d1a6668d4099,IntelliGateLTE,,0a1c7950-4bb7-11ed-9a85-43b5866161ae,Zehnder Group - PMO SE
58BF25EA2694,c50d5820-833a-11eb-99b2-1749f3975254,IntelliGateLTE,CARA DT,70e0a5b0-4bc3-11ed-9a85-43b5866161ae,Scandinavian Cellulose Production - Tbro SE
11004100001234,ca5a59f0-94e3-11ee-92d0-33963a1aa4c6,IntelliGateLTE,CARA DT,397eac60-1daf-11ef-9159-ed94d19c6787,Zehnder Zensor
58BF25E882B8-004,cfbacba0-815a-11ef-b675-81d50ee23e1f,Premasgard_7000,Cone,fde0af30-d9d7-11ed-abe5-9faf6fe668dc,Motala Hissar - R&D
C049EF25CB80-011,cfdda030-168e-11ef-9159-ed94d19c6787,Noise_sensor,Filtermaskin,0a1c7950-4bb7-11ed-9a85-43b5866161ae,Zehnder Group - PMO SE
58BF25EC9D94-001,d2187fe0-de12-11ea-a1ea-2318b9131b8f,Modbus V6 Fan,CA12 Max,0a1c7950-4bb7-11ed-9a85-43b5866161ae,Zehnder Group - PMO SE
58BF25EA25EC,d271b6e0-e6de-11ee-97a1-13eb5634dd40,IntelliGateLTE,Saica PA 1,30832ed0-2d4d-11ef-ad50-41358614ad63,Saica Pack -  UK
58BF25EC9D94-003,d2a57da0-de12-11ea-a1ea-2318b9131b8f,PREMASGARD,"",0a1c7950-4bb7-11ed-9a85-43b5866161ae,Zehnder Group - PMO SE
58BF25E96F6C,dd9d56d0-e6d6-11ee-97a1-13eb5634dd40,IntelliGateLTE,Saica PM 1,30832ed0-2d4d-11ef-ad50-41358614ad63,Saica Pack -  UK
58BF25EA1554,dfff9120-e6d3-11ee-97a1-13eb5634dd40,IntelliGateLTE,CARA DT,397eac60-1daf-11ef-9159-ed94d19c6787,Zehnder Zensor
58BF25EA1554-013,e0b4c3a0-91f6-11ef-b675-81d50ee23e1f,SEN5X,"",397eac60-1daf-11ef-9159-ed94d19c6787,Zehnder Zensor
58BF25E96CA8-010,e4a16ba0-b79c-11ef-b931-9dad38df1d1f,SEN5X,Cosanum 10,8d8537a0-4675-11ee-bc70-33963a1aa4c6,Cosanum - Zurich CH
58BF25EA1554-014,eaf0b2c0-91f6-11ef-bb66-09a77fdcecde,SEN5X,"",397eac60-1daf-11ef-9159-ed94d19c6787,Zehnder Zensor
58BF25ECA440-010,f3aca190-bd38-11ef-b931-9dad38df1d1f,SEN5X,"",397eac60-1daf-11ef-9159-ed94d19c6787,Zehnder Zensor
24D7EBBD4A80,fae96460-8192-11eb-99b2-1749f3975254,IntelliGateLTE,"",0a1c7950-4bb7-11ed-9a85-43b5866161ae,Zehnder Group - PMO SE
58BF25EA1554-011,fb028ee0-91e2-11ef-bb66-09a77fdcecde,SEN5X,"",397eac60-1daf-11ef-9159-ed94d19c6787,Zehnder Zensor
24D7EBBD6A40,fd64c380-9977-11ec-bcd8-afb5f342d01b,IntelliGateLTE,1041,70e0a5b0-4bc3-11ed-9a85-43b5866161ae,Scandinavian Cellulose Production - Tbro SE
24D7EBBD6A40-001,fd67d0c0-9977-11ec-bcd8-afb5f342d01b,Modbus V6 Fan,1041,70e0a5b0-4bc3-11ed-9a85-43b5866161ae,Scandinavian Cellulose Production - Tbro SE
24D7EBBD6A40-003,fd6cb2c0-9977-11ec-bcd8-afb5f342d01b,PREMASGARD,Systemtryck,70e0a5b0-4bc3-11ed-9a85-43b5866161ae,Scandinavian Cellulose Production - Tbro SE
58BF25EBA0F0-003,ffba88a0-7fce-11ef-bb66-09a77fdcecde,Premasgard_7000,System,fde0af30-d9d7-11ed-abe5-9faf6fe668dc,Motala Hissar - R&D
