keys
6001
6002
6021
6024
ts
5009
5006
5007
5008
2900
2902
2903
2904
2207
2208
2209
220A
220B
raTemp
2210
2211
2212
2213
2214
2215
2216
2217
220C
220D
220E
220F
2443
2444
2445
2446
2447
2448
2449
2450
2451
2452
2453
2454
2455
2456
2457
2458
2459
2460
2461
2462
2463
2464
2465
2466
2467
2468
2469
2470
2471
2472
2473
2474
2475
2476
2477
2478
2479
2480
2481
2482
6736
244A
244B
244C
244D
244E
244F
245A
245B
245C
245D
245E
245F
246A
246B
246C
246D
246E
246F
247A
247B
247C
247D
247E
247F
6744
5116
5117
5037
5122
5123
6737
2206
5601
6739
6010
6013
6738
6743
673A
673B
alive
ts
rssi_ts
RSRP_ts
Modbus_OK
Modbus_TIMEOUT
Modbus_CRC
Modbus_CodeFail
Modbus_ADDR_BUF
Modbus_ADDR_PAGE
Modbus_CommonFail
Modbus_PACKET_ERR
Modbus_PWD
Modbus_TimeRead_s
MQTT_PubSuccess
MQTT_PubFail
MQTT_Connect
MQTT_Disconnect
Task_StackUsage_MQTT
Task_StackUsage_Main
Task_StackUsage_Sync
Task_StackUsage_Modbus
Task_StackUsage_Status
Task_StackUsage_Filter
Task_StackUsage_FilterConfig
Task_StackUsage_FilterResponse
Task_StackUsage_OTA
SPIRAM_Usage_total_free_bytes
SPIRAM_Usage_total_allocated_bytes
SPIRAM_Usage_largest_free_block
SPIRAM_Usage_minimum_free_bytes
SPIRAM_Usage_allocated_blocks
SPIRAM_Usage_free_blocks
SPIRAM_Usage_total_blocks
HeapUsage_MinFreeHeap
HeapUsage_AvailableHeap
System_ResetReason
System_ResetCnt
Modem_RAT
Modem_RAT_Act1
Modem_RAT_Act2
Modem_Connect
Modem_Disconnect
Modem_GotIP
Modem_LostIP
MQTT_ErrType
MQTT_TLS_Err
MQTT_Stack_Err
MQTT_Socket_Err
Modem_RAT BAND Setpoint
Network_ServiceCell
Network_RAT
Network_MCC
Network_MNC
Network_TAC
Network_Cell_ID
Network_EARFCN
Network_PhysicalCell_ID
Network_Band
Network_Bandwidth
Network_RSSNR
Network_RXLEV
Network_RSRP
Network_RSRQ
raw_ts
topic_0
topic_1
topic_2
topic_3
topic_4
topic_5
topic_6
topic_7
topic_8
topic_9
topic_10
topic_11
topic_12
topic_13
topic_14
topic_15
topic_16
topic_17
topic_18
topic_19
topic_20
topic_21
topic_22
topic_23
topic_24
topic_25
topic_26
topic_27
topic_28
topic_29
topic_30
topic_31
topic_32
topic_33
topic_34
topic_35
topic_36
topic_37
topic_38
topic_39
topic_40
topic_41
pp_deviceType
pp_gatewayIdPhysical
pp_gatewayIdLogical
pp_gatewayType
pp_type
pp__topic
pp__suffix
pp__kafkatopic
pp__kafkats
pp__schemaversion
6001
6002
6021
6024
5009
5006
5007
5008
2900
2902
2903
2904
2207
2208
2209
raTemp
2210
2211
2212
2213
2214
2215
2216
2217
2443
2444
2445
2446
2447
2448
2449
2450
2451
2452
2453
2454
2455
2456
2457
2458
2459
2460
2461
2462
2463
2464
2465
2466
2467
2468
2469
2470
2471
2472
2473
2474
2475
2476
2477
2478
2479
2480
2481
2482
6736
244A
244B
244C
244D
244E
244F
245A
245B
245C
245D
245E
245F
246A
246B
246C
246D
246E
246F
247A
247B
247C
247D
247E
247F
6744
5116
5117
5037
5122
5123
6737
2206
220a
220c
220e
5601
6739
6010
6013
6738
6743
220b
220d
220f
673a
673b
Status
country_code
country_name
iccid
imsi
latitude
longitude
mcc
operator
rat_type
cost
country
end_ts
event_severity
event_type
imei
rx
start_ts
ts
tx
volume
ci
lac
volume_left
Volume_Allotted
valid_till
Status_change_date
event_source
SIMlabel
sim-status
